dataset,column,dtype,n_missing,pct_missing,n_unique,sample_values
perceived_mh_annual,REF_DATE,str,0,0.0,3,"2019/2020, 2021/2022, 2023/2024"
perceived_mh_annual,GEO,str,0,0.0,13,"Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick"
perceived_mh_annual,DGUID,str,0,0.0,13,"2021A000210, 2021A000211, 2021A000212, 2021A000213"
perceived_mh_annual,Age group,str,0,0.0,1,"Total, 18 years and over"
perceived_mh_annual,Sex,str,0,0.0,3,"Both sexes, Males, Females"
perceived_mh_annual,Indicators,str,0,0.0,8,"Perceived mental health, very , Perceived mental health, fair , Perceived life stress, most da, Mood disorder"
perceived_mh_annual,Characteristics,str,0,0.0,1,Percent
perceived_mh_annual,UOM,str,0,0.0,1,Percent
perceived_mh_annual,UOM_ID,int64,0,0.0,1,239
perceived_mh_annual,SCALAR_FACTOR,str,0,0.0,1,units
perceived_mh_annual,SCALAR_ID,int64,0,0.0,1,0
perceived_mh_annual,VECTOR,str,0,0.0,312,"v1806947204, v1806947211, v1806947218, v1806947260"
perceived_mh_annual,COORDINATE,str,0,0.0,312,"2.1.1.3.4, 2.1.1.4.4, 2.1.1.5.4, 2.1.1.11.4"
perceived_mh_annual,VALUE,float64,26,2.8,417,"68.6, 58.3, 53.5, 8.0"
perceived_mh_annual,STATUS,str,898,95.9,3,".., E, F"
perceived_mh_annual,SYMBOL,float64,936,100.0,0,
perceived_mh_annual,TERMINATED,float64,936,100.0,0,
perceived_mh_annual,DECIMALS,int64,0,0.0,1,1
suicidal_thoughts,REF_DATE,int64,0,0.0,2,"2015, 2019"
suicidal_thoughts,GEO,str,0,0.0,11,"Canada (excluding territories), Newfoundland and Labrador, Prince Edward Island, Nova Scotia"
suicidal_thoughts,DGUID,str,648,7.9,10,"2016A000210, 2016A000211, 2016A000212, 2016A000213"
suicidal_thoughts,Age group,str,0,0.0,6,"Total, 12 years and over, 12 to 17 years, 18 to 34 years, 35 to 49 years"
suicidal_thoughts,Sex,str,0,0.0,3,"Both sexes, Males, Females"
suicidal_thoughts,Indicators,str,0,0.0,3,"Consultation with a health pro, Positive mental health, flouri, Suicidal thoughts (15 years an"
suicidal_thoughts,Characteristics,str,0,0.0,7,"Number of persons, Low 95% confidence interval, n, High 95% confidence interval, , Percent"
suicidal_thoughts,UOM,str,0,0.0,2,"Number, Percent"
suicidal_thoughts,UOM_ID,int64,0,0.0,2,"223, 239"
suicidal_thoughts,SCALAR_FACTOR,str,0,0.0,1,units
suicidal_thoughts,SCALAR_ID,int64,0,0.0,1,0
suicidal_thoughts,VECTOR,str,0,0.0,4104,"v111448102, v111448103, v111448104, v111448105"
suicidal_thoughts,COORDINATE,str,0,0.0,4104,"1.1.1.1.1, 1.1.1.1.2, 1.1.1.1.3, 1.1.1.1.4"
suicidal_thoughts,VALUE,float64,567,6.9,2743,"4082100.0, 3933800.0, 4230400.0, 13.9"
