ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2002,2002,Alberta,Men+,15 to 24 years,"Cannabis use, 12 months",87298.0,72677.0,101918.0,number,number,
2002,2002,Alberta,Men+,15 to 24 years,"Cannabis use, life",131680.0,114911.0,148448.0,number,number,
2002,2002,Alberta,Men+,15 to 24 years,"Major depressive episode, 12 months",11971.0,5508.0,18433.0,number,number,E
2002,2002,Alberta,Men+,15 to 24 years,"Major depressive episode, life",16383.0,8638.0,24128.0,number,number,E
2002,2002,Alberta,Men+,15 to 24 years,"Perceived mental health, fair or poor",7293.0,3394.0,11192.0,number,number,E
2002,2002,Alberta,Men+,15 to 24 years,"Perceived mental health, good",61193.0,46807.0,75579.0,number,number,
2002,2002,Alberta,Men+,15 to 24 years,"Perceived mental health, very good or excellent",165409.0,150701.0,180116.0,number,number,
2002,2002,Alberta,Men+,15 to 24 years,"Self-rated work stress, days a bit stressful",79358.0,65635.0,93082.0,number,number,
2002,2002,Alberta,Men+,15 to 24 years,"Self-rated work stress, days not at all or not very stressful",90376.0,73286.0,107466.0,number,number,
2002,2002,Alberta,Men+,15 to 24 years,"Self-rated work stress, days quite a bit or extremely stressful",24106.0,14848.0,33364.0,number,number,E
2002,2002,Alberta,Men+,15 to 24 years,"Suicidal thoughts, 12 months",14508.0,6805.0,22211.0,number,number,E
2002,2002,Alberta,Men+,15 to 24 years,"Suicidal thoughts, life",40810.0,29084.0,52535.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Cannabis use, 12 months",99953.0,82105.0,117801.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Cannabis use, life",348462.0,327068.0,369855.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Major depressive episode, 12 months",24462.0,14889.0,34035.0,number,number,E
2002,2002,Alberta,Men+,25 to 44 years,"Major depressive episode, life",50296.0,36058.0,64535.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Perceived mental health, fair or poor",34523.0,23799.0,45247.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Perceived mental health, good",147280.0,125206.0,169354.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Perceived mental health, very good or excellent",317397.0,293988.0,340806.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Self-rated work stress, days a bit stressful",214484.0,189186.0,239782.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Self-rated work stress, days not at all or not very stressful",127795.0,106245.0,149345.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Self-rated work stress, days quite a bit or extremely stressful",140445.0,116442.0,164449.0,number,number,
2002,2002,Alberta,Men+,25 to 44 years,"Suicidal thoughts, 12 months",24669.0,14668.0,34670.0,number,number,E
2002,2002,Alberta,Men+,25 to 44 years,"Suicidal thoughts, life",93391.0,75278.0,111505.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Cannabis use, 12 months",116035.0,96633.0,135437.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Cannabis use, life",500206.0,470838.0,529575.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Major depressive episode, 12 months",46509.0,32774.0,60243.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Major depressive episode, life",89667.0,70280.0,109055.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Perceived mental health, fair or poor",62562.0,47731.0,77393.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Perceived mental health, good",267087.0,236524.0,297650.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Perceived mental health, very good or excellent",523548.0,491552.0,555543.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Self-rated work stress, days a bit stressful",330331.0,295728.0,364934.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Self-rated work stress, days not at all or not very stressful",226517.0,199064.0,253970.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Self-rated work stress, days quite a bit or extremely stressful",237892.0,206254.0,269531.0,number,number,
2002,2002,Alberta,Men+,25 to 64 years,"Suicidal thoughts, 12 months",37291.0,24849.0,49733.0,number,number,E
2002,2002,Alberta,Men+,25 to 64 years,"Suicidal thoughts, life",130317.0,109093.0,151541.0,number,number,
2002,2002,Alberta,Men+,45 to 64 years,"Cannabis use, 12 months",16082.0,8855.0,23309.0,number,number,E
2002,2002,Alberta,Men+,45 to 64 years,"Cannabis use, life",151745.0,129578.0,173912.0,number,number,
2002,2002,Alberta,Men+,45 to 64 years,"Major depressive episode, 12 months",22047.0,11468.0,32626.0,number,number,E
2002,2002,Alberta,Men+,45 to 64 years,"Major depressive episode, life",39371.0,24389.0,54353.0,number,number,E
2002,2002,Alberta,Men+,45 to 64 years,"Perceived mental health, fair or poor",28039.0,16510.0,39568.0,number,number,E
2002,2002,Alberta,Men+,45 to 64 years,"Perceived mental health, good",119807.0,97702.0,141911.0,number,number,
2002,2002,Alberta,Men+,45 to 64 years,"Perceived mental health, very good or excellent",206151.0,184580.0,227722.0,number,number,
2002,2002,Alberta,Men+,45 to 64 years,"Self-rated work stress, days a bit stressful",115847.0,93204.0,138491.0,number,number,
2002,2002,Alberta,Men+,45 to 64 years,"Self-rated work stress, days not at all or not very stressful",98722.0,78170.0,119275.0,number,number,
