ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-04,2021,Alberta,Men,Excellent or very good perceived health,1063000.0,964000.0,1163000.0,number,number,
2021-04,2021,Alberta,Men,Good perceived health,528000.0,434000.0,622000.0,number,number,E
2021-04,2021,Alberta,"Total, all persons",Excellent or very good perceived health,2028000.0,1899000.0,2156000.0,number,number,
2021-04,2021,Alberta,"Total, all persons",Fair or poor perceived health,399000.0,317000.0,480000.0,number,number,E
2021-04,2021,Alberta,"Total, all persons",Good perceived health,1101000.0,980000.0,1222000.0,number,number,
2021-04,2021,Alberta,Women,Excellent or very good perceived health,965000.0,881000.0,1049000.0,number,number,
2021-04,2021,Alberta,Women,Fair or poor perceived health,235000.0,174000.0,296000.0,number,number,E
2021-04,2021,Alberta,Women,Good perceived health,573000.0,494000.0,652000.0,number,number,
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,580000.0,536000.0,625000.0,number,number,
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,139000.0,111000.0,167000.0,number,number,
2021-04,2021,Atlantic Region,Men,Good perceived health,288000.0,247000.0,329000.0,number,number,
2021-04,2021,Atlantic Region,"Total, all persons",Excellent or very good perceived health,1178000.0,1122000.0,1233000.0,number,number,
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,271000.0,234000.0,309000.0,number,number,
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,607000.0,554000.0,660000.0,number,number,
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,597000.0,559000.0,635000.0,number,number,
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,133000.0,107000.0,158000.0,number,number,
2021-04,2021,Atlantic Region,Women,Good perceived health,319000.0,284000.0,354000.0,number,number,
2021-04,2021,British Columbia,Men,Excellent or very good perceived health,1243000.0,1147000.0,1340000.0,number,number,
2021-04,2021,British Columbia,Men,Fair or poor perceived health,241000.0,181000.0,302000.0,number,number,E
2021-04,2021,British Columbia,Men,Good perceived health,640000.0,548000.0,732000.0,number,number,
2021-04,2021,British Columbia,"Total, all persons",Excellent or very good perceived health,2441000.0,2303000.0,2579000.0,number,number,
2021-04,2021,British Columbia,"Total, all persons",Fair or poor perceived health,547000.0,455000.0,640000.0,number,number,
2021-04,2021,British Columbia,"Total, all persons",Good perceived health,1345000.0,1216000.0,1474000.0,number,number,
2021-04,2021,British Columbia,Women,Excellent or very good perceived health,1198000.0,1096000.0,1300000.0,number,number,
2021-04,2021,British Columbia,Women,Fair or poor perceived health,306000.0,236000.0,376000.0,number,number,E
2021-04,2021,British Columbia,Women,Good perceived health,705000.0,605000.0,805000.0,number,number,
2021-04,2021,Canada (excluding territories),Men,Excellent or very good perceived health,9341000.0,9061000.0,9620000.0,number,number,
2021-04,2021,Canada (excluding territories),Men,Fair or poor perceived health,1626000.0,1466000.0,1786000.0,number,number,
2021-04,2021,Canada (excluding territories),Men,Good perceived health,4484000.0,4217000.0,4750000.0,number,number,
2021-04,2021,Canada (excluding territories),"Total, all persons",Excellent or very good perceived health,17877000.0,17492000.0,18262000.0,number,number,
2021-04,2021,Canada (excluding territories),"Total, all persons",Fair or poor perceived health,3574000.0,3349000.0,3800000.0,number,number,
2021-04,2021,Canada (excluding territories),"Total, all persons",Good perceived health,9837000.0,9471000.0,10202000.0,number,number,
2021-04,2021,Canada (excluding territories),Women,Excellent or very good perceived health,8536000.0,8269000.0,8803000.0,number,number,
2021-04,2021,Canada (excluding territories),Women,Fair or poor perceived health,1948000.0,1782000.0,2114000.0,number,number,
2021-04,2021,Canada (excluding territories),Women,Good perceived health,5353000.0,5092000.0,5614000.0,number,number,
2021-04,2021,Manitoba,Men,Excellent or very good perceived health,318000.0,285000.0,352000.0,number,number,
2021-04,2021,Manitoba,Men,Good perceived health,155000.0,122000.0,187000.0,number,number,E
2021-04,2021,Manitoba,"Total, all persons",Excellent or very good perceived health,604000.0,557000.0,651000.0,number,number,
2021-04,2021,Manitoba,"Total, all persons",Fair or poor perceived health,127000.0,96000.0,157000.0,number,number,E
2021-04,2021,Manitoba,"Total, all persons",Good perceived health,322000.0,277000.0,366000.0,number,number,
2021-04,2021,Manitoba,Women,Excellent or very good perceived health,286000.0,252000.0,319000.0,number,number,
2021-04,2021,Manitoba,Women,Good perceived health,167000.0,137000.0,197000.0,number,number,E
2021-04,2021,New Brunswick,Men,Excellent or very good perceived health,193000.0,170000.0,217000.0,number,number,
2021-04,2021,New Brunswick,Men,Good perceived health,88000.0,67000.0,108000.0,number,number,E
2021-04,2021,New Brunswick,"Total, all persons",Excellent or very good perceived health,386000.0,356000.0,416000.0,number,number,
2021-04,2021,New Brunswick,"Total, all persons",Fair or poor perceived health,88000.0,68000.0,109000.0,number,number,E
2021-04,2021,New Brunswick,"Total, all persons",Good perceived health,178000.0,151000.0,206000.0,number,number,
2021-04,2021,New Brunswick,Women,Excellent or very good perceived health,193000.0,172000.0,213000.0,number,number,
2021-04,2021,New Brunswick,Women,Good perceived health,91000.0,73000.0,108000.0,number,number,E
2021-04,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,102000.0,81000.0,124000.0,number,number,E
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,79000.0,59000.0,98000.0,number,number,E
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,236000.0,209000.0,263000.0,number,number,
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,147000.0,122000.0,172000.0,number,number,
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,134000.0,117000.0,150000.0,number,number,E
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,68000.0,52000.0,84000.0,number,number,E
2021-04,2021,Nova Scotia,Men,Excellent or very good perceived health,248000.0,218000.0,278000.0,number,number,
2021-04,2021,Nova Scotia,Men,Good perceived health,102000.0,74000.0,130000.0,number,number,E
2021-04,2021,Nova Scotia,"Total, all persons",Excellent or very good perceived health,482000.0,443000.0,521000.0,number,number,
2021-04,2021,Nova Scotia,"Total, all persons",Fair or poor perceived health,104000.0,80000.0,128000.0,number,number,E
2021-04,2021,Nova Scotia,"Total, all persons",Good perceived health,239000.0,203000.0,276000.0,number,number,
2021-04,2021,Nova Scotia,Women,Excellent or very good perceived health,234000.0,208000.0,260000.0,number,number,
2021-04,2021,Nova Scotia,Women,Good perceived health,137000.0,112000.0,162000.0,number,number,E
2021-04,2021,Ontario,Men,Excellent or very good perceived health,3496000.0,3296000.0,3696000.0,number,number,
2021-04,2021,Ontario,Men,Fair or poor perceived health,698000.0,576000.0,821000.0,number,number,
2021-04,2021,Ontario,Men,Good perceived health,1857000.0,1666000.0,2048000.0,number,number,
2021-04,2021,Ontario,"Total, all persons",Excellent or very good perceived health,6792000.0,6528000.0,7056000.0,number,number,
2021-04,2021,Ontario,"Total, all persons",Fair or poor perceived health,1470000.0,1303000.0,1637000.0,number,number,
2021-04,2021,Ontario,"Total, all persons",Good perceived health,4072000.0,3816000.0,4328000.0,number,number,
2021-04,2021,Ontario,Women,Excellent or very good perceived health,3296000.0,3111000.0,3481000.0,number,number,
2021-04,2021,Ontario,Women,Fair or poor perceived health,772000.0,656000.0,887000.0,number,number,
2021-04,2021,Ontario,Women,Good perceived health,2215000.0,2037000.0,2393000.0,number,number,
2021-04,2021,Prairies Region,Men,Excellent or very good perceived health,1636000.0,1525000.0,1748000.0,number,number,
2021-04,2021,Prairies Region,Men,Fair or poor perceived health,264000.0,205000.0,323000.0,number,number,E
2021-04,2021,Prairies Region,Men,Good perceived health,823000.0,718000.0,928000.0,number,number,
2021-04,2021,Prairies Region,"Total, all persons",Excellent or very good perceived health,3103000.0,2956000.0,3250000.0,number,number,
