ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",225600.0,213900.0,237400.0,number,number,
2016,2016,Alberta,Both sexes,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",197400.0,184600.0,209500.0,number,number,
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, family",16200.0,10900.0,23100.0,number,number,E
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, none",18600.0,11600.0,25800.0,number,number,E
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",167400.0,152900.0,182600.0,number,number,
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",26400.0,17900.0,34800.0,number,number,E
2016,2016,Alberta,Both sexes,12 to 17 years,"Main source of stress in day-to-day life, work",6600.0,2800.0,10200.0,number,number,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",930800.0,903100.0,956600.0,number,number,
2016,2016,Alberta,Both sexes,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",822900.0,793700.0,854200.0,number,number,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, family",91100.0,73000.0,110600.0,number,number,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",250900.0,220500.0,281200.0,number,number,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, health",39100.0,24700.0,53500.0,number,number,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, none",42800.0,30200.0,55700.0,number,number,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, other",28900.0,16300.0,43100.0,number,number,E
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",120700.0,92700.0,147900.0,number,number,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",164000.0,138700.0,192000.0,number,number,
2016,2016,Alberta,Both sexes,18 to 34 years,"Main source of stress in day-to-day life, work",310600.0,281800.0,341900.0,number,number,
2016,2016,Alberta,Both sexes,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",805200.0,785100.0,823000.0,number,number,
2016,2016,Alberta,Both sexes,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",737900.0,712500.0,760700.0,number,number,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, family",137100.0,108900.0,159000.0,number,number,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",224300.0,198900.0,254300.0,number,number,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, health",33000.0,23600.0,44300.0,number,number,E
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, none",54800.0,37000.0,73800.0,number,number,E
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, other",11900.0,7800.0,16600.0,number,number,E
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",140100.0,117100.0,164400.0,number,number,
2016,2016,Alberta,Both sexes,35 to 49 years,"Main source of stress in day-to-day life, work",276800.0,248300.0,307500.0,number,number,
2016,2016,Alberta,Both sexes,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",697300.0,676300.0,714400.0,number,number,
