ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2015,2015,Alberta,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,38700.0,27500.0,49800.0,number,number,
2015,2015,Alberta,Both sexes,12 to 17 years,"Positive mental health, flourishing",227300.0,215300.0,239200.0,number,number,
2015,2015,Alberta,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),14900.0,8000.0,21800.0,number,number,E
2015,2015,Alberta,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,192600.0,162800.0,222300.0,number,number,
2015,2015,Alberta,Both sexes,18 to 34 years,"Positive mental health, flourishing",885500.0,855600.0,915300.0,number,number,
2015,2015,Alberta,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),194000.0,165900.0,222100.0,number,number,
2015,2015,Alberta,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,143600.0,119700.0,167600.0,number,number,
2015,2015,Alberta,Both sexes,35 to 49 years,"Positive mental health, flourishing",723600.0,695900.0,751200.0,number,number,
2015,2015,Alberta,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),122300.0,99300.0,145300.0,number,number,
2015,2015,Alberta,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,104400.0,85900.0,122900.0,number,number,
2015,2015,Alberta,Both sexes,50 to 64 years,"Positive mental health, flourishing",649900.0,625000.0,674800.0,number,number,
2015,2015,Alberta,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),99500.0,80100.0,118900.0,number,number,
2015,2015,Alberta,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,27700.0,19600.0,35800.0,number,number,
2015,2015,Alberta,Both sexes,65 years and over,"Positive mental health, flourishing",344700.0,329000.0,360500.0,number,number,
2015,2015,Alberta,Both sexes,65 years and over,Suicidal thoughts (15 years and over),41700.0,31200.0,52100.0,number,number,
2015,2015,Alberta,Both sexes,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,506900.0,464100.0,549800.0,number,number,
2015,2015,Alberta,Both sexes,"Total, 12 years and over","Positive mental health, flourishing",2830900.0,2780900.0,2880900.0,number,number,
2015,2015,Alberta,Both sexes,"Total, 12 years and over",Suicidal thoughts (15 years and over),472400.0,428400.0,516300.0,number,number,
2015,2015,Alberta,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,23000.0,14200.0,31800.0,number,number,E
2015,2015,Alberta,Females,12 to 17 years,"Positive mental health, flourishing",105000.0,95500.0,114600.0,number,number,
2015,2015,Alberta,Females,12 to 17 years,Suicidal thoughts (15 years and over),10300.0,4200.0,16300.0,number,number,E
2015,2015,Alberta,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,134500.0,113800.0,155100.0,number,number,
2015,2015,Alberta,Females,18 to 34 years,"Positive mental health, flourishing",426300.0,406000.0,446700.0,number,number,
