"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448102","1.1.1.1.1","4082100","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448103","1.1.1.1.2","3933800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448104","1.1.1.1.3","4230400","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448105","1.1.1.1.4","13.9","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448106","1.1.1.1.5","13.4","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448107","1.1.1.1.6","14.4","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448109","1.1.1.2.1","23748100","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448110","1.1.1.2.2","23562600","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448111","1.1.1.2.3","23933700","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448112","1.1.1.2.4","80.9","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448113","1.1.1.2.5","80.2","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448114","1.1.1.2.6","81.5","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448116","1.1.1.3.1","3396700","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448117","1.1.1.3.2","3255600","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448118","1.1.1.3.3","3537700","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448119","1.1.1.3.4","12.1","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448120","1.1.1.3.5","11.6","","","","1"
