"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427746919","1.1.1.1","57.1","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746920","1.1.1.2","55.9","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746921","1.1.1.3","58.4","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427746922","1.1.1.4","17877","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746923","1.1.1.5","17492","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746924","1.1.1.6","18262","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Good perceived health","Percentage of persons","Percent","239","units","0","v1427746925","1.1.2.1","31.4","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746926","1.1.2.2","30.3","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746927","1.1.2.3","32.6","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Good perceived health","Number of persons","Number","223","thousands","3","v1427746928","1.1.2.4","9837","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746929","1.1.2.5","9471","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746930","1.1.2.6","10202","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427746931","1.1.3.1","11.4","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746932","1.1.3.2","10.7","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746933","1.1.3.3","12.2","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427746934","1.1.3.4","3574","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746935","1.1.3.5","3349","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Total, all persons","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746936","1.1.3.6","3800","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427746937","1.2.1.1","60.5","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746938","1.2.1.2","58.6","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746939","1.2.1.3","62.2","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427746940","1.2.1.4","9341","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746941","1.2.1.5","9061","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746942","1.2.1.6","9620","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Good perceived health","Percentage of persons","Percent","239","units","0","v1427746943","1.2.2.1","29.0","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746944","1.2.2.2","27.3","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746945","1.2.2.3","30.8","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Good perceived health","Number of persons","Number","223","thousands","3","v1427746946","1.2.2.4","4484","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746947","1.2.2.5","4217","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746948","1.2.2.6","4750","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427746949","1.2.3.1","10.5","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746950","1.2.3.2","9.5","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746951","1.2.3.3","11.6","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427746952","1.2.3.4","1626","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746953","1.2.3.5","1466","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746954","1.2.3.6","1786","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427746955","1.3.1.1","53.9","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746956","1.3.1.2","52.2","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427746957","1.3.1.3","55.6","","","","1"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427746958","1.3.1.4","8536","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746959","1.3.1.5","8269","","","","0"
"2021-04","Canada (excluding territories)","2016A000011124","Women","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427746960","1.3.1.6","8803","","","","0"
