REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806947204,2.1.1.3.4,68.6,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806947204,2.1.1.3.4,58.3,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806947204,2.1.1.3.4,53.5,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947211,2.1.1.4.4,8,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947211,2.1.1.4.4,13.2,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947211,2.1.1.4.4,16.5,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947218,2.1.1.5.4,13.7,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947218,2.1.1.5.4,17,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947218,2.1.1.5.4,17.2,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,Mood disorder,Percent,Percent,239,units,0,v1806947260,2.1.1.11.4,10.1,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,Mood disorder,Percent,Percent,239,units,0,v1806947260,2.1.1.11.4,12.7,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,Mood disorder,Percent,Percent,239,units,0,v1806947260,2.1.1.11.4,15.2,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,Anxiety disorder,Percent,Percent,239,units,0,v1806947267,2.1.1.12.4,11.8,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,Anxiety disorder,Percent,Percent,239,units,0,v1806947267,2.1.1.12.4,16.4,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,Anxiety disorder,Percent,Percent,239,units,0,v1806947267,2.1.1.12.4,,..,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947288,2.1.1.15.4,23.2,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947288,2.1.1.15.4,24.7,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Both sexes,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806947288,2.1.1.15.4,23.8,,,,1
